1	14
2	19
3	26
4	28
5	29
6	30
7	32
8	35
9	37
10	40
11	43
12	44
13	45
14	46
15	47
16	48
17	49
18	50
19	51
20	52
21	53
22	55
23	57
24	60
25	61
26	62
27	64
28	65
29	66
30	67
31	68
32	69
33	70
34	71
35	72
36	74
37	76
38	79
39	81
40	84
41	85
42	86
43	87
44	88
45	89
46	90
47	91
48	93
49	95
50	97
51	98
52	99
53	100
54	101
55	102
56	104
57	105
58	107
59	108
60	110
61	111
62	112
63	113
64	115
65	116
66	119
67	123
68	124
69	129
70	130
71	131
72	132
73	133
74	136
75	137
76	138
77	139
78	140
79	142
80	143
81	144
82	145
83	147
84	148
85	149
86	150
87	151
88	152
89	154
90	155
91	156
92	157
93	158
94	160
95	161
96	162
97	163
98	164
99	165
100	166
101	167
102	168
103	171
104	173
105	174
106	176
107	177
108	179
109	180
110	185
111	186
112	187
113	188
114	189
115	190
116	191
117	192
118	193
119	195
120	196
121	198
122	199
123	200
124	201
125	202
126	203
127	204
128	205
129	206
130	208
131	210
132	212
133	213
134	216
135	219
136	220
137	221
138	222
139	223
140	225
141	226
142	227
143	228
144	231
145	232
146	236
147	237
148	238
149	239
150	241
151	242
152	244
153	245
154	246
155	247
156	248
157	249
158	250
159	254
160	255
161	256
162	257
163	259
164	262
165	263
166	264
167	265
168	266
169	267
170	268
171	269
172	270
173	273
174	275
175	276
176	277
177	278
178	279
179	281
180	282
181	283
182	284
183	286
184	288
185	290
186	291
187	292
188	293
189	295
190	296
191	297
192	298
193	300
194	301
195	303
196	304
197	305
